№,Секунда,Микросекунда
1,10,566234
2,10,576718
3,10,587186
4,10,598187
5,10,609073
6,10,620187
7,10,631190
8,10,642076
9,10,653144
10,10,664189
11,10,675415
12,10,686326
13,10,697339
14,10,708423
15,10,719335
16,10,731411
17,10,742409
18,10,753418
19,10,764270
20,10,775329
21,10,786425
22,10,797430
23,10,808265
24,10,819414
25,10,830420
26,10,841407
27,10,852267
28,10,863404
29,10,874407
30,10,885266
31,10,896422
32,10,907269
33,10,918284
34,10,929418
35,10,940263
36,10,951262
37,10,962426
38,10,973308
39,10,984322
40,10,995423
41,11,6418
42,11,17265
43,11,28424
44,11,39281
45,11,50312
46,11,61407
47,11,72429
48,11,83323
49,11,94333
50,11,105422
51,11,116340
52,11,127420
53,11,138432
54,11,149416
55,11,160412
56,11,171416
57,11,182416
58,11,193264
59,11,204416
60,11,215336
61,11,226326
62,11,237328
63,11,248326
64,11,259325
65,11,270421
66,11,281418
67,11,292408
68,11,303326
69,11,314327
70,11,325427
71,11,336417
72,11,347423
73,11,358418
74,11,369337
75,11,380329
76,11,391327
77,11,402266
78,11,413413
79,11,424307
80,11,435265
81,11,446440
82,11,457260
83,11,468260
84,11,479260
85,11,490360
86,11,501288
87,11,512330
88,11,523365
89,11,534283
90,11,544660
91,11,555659
92,11,566594
93,11,577592
94,11,588606
95,11,599706
96,11,610700
97,11,621940
98,11,632928
99,11,644010
100,11,654928
101,11,666037
102,11,677029
103,11,687934
104,11,698871
105,11,710035
106,11,721006
107,11,732017
108,11,743024
109,11,753927
110,11,764934
111,11,776023
112,11,787034
113,11,797868
114,11,808930
115,11,819899
116,11,831019
117,11,841922
118,11,853022
119,11,864009
120,11,875015
121,11,886052
122,11,896902
123,11,908020
124,11,918941
125,11,929881
126,11,940868
127,11,951934
128,11,963008
129,11,973927
130,11,984865
131,11,996017
132,12,6931
133,12,17866
134,12,29023
135,12,39933
136,12,50866
137,12,62017
138,12,73021
139,12,83869
140,12,94998
141,12,106028
142,12,116967
143,12,128392
144,12,139380
145,12,150307
146,12,161298
147,12,172379
148,12,183379
149,12,194308
150,12,205380
151,12,216388
152,12,227246
153,12,238392
154,12,249389
155,12,260289
156,12,271396
157,12,282394
158,12,293378
159,12,304298
160,12,315388
161,12,326371
162,12,337303
163,12,348397
164,12,359238
165,12,370393
166,12,381236
167,12,392390
168,12,403390
169,12,415238
170,12,426396
171,12,437253
172,12,448305
173,12,459393
174,12,470287
175,12,481389
176,12,492390
177,12,503387
178,12,514238
179,12,526240
180,12,537231
181,12,548307
182,12,559273
183,12,570299
184,12,581299
185,12,592479
186,12,603400
187,12,614405
188,12,625514
189,12,636516
190,12,647510
191,12,658521
192,12,669657
193,12,680656
194,12,691691
195,12,702806
196,12,713755
197,12,724721
198,12,735734
199,12,746729
200,12,757731
201,12,768736
202,12,779853
203,12,790796
204,12,801741
205,12,812720
206,12,824665
207,12,835658
208,12,846683
209,12,857688
210,12,868760
211,12,879754
212,12,890896
213,12,901722
214,12,912721
215,12,923705
216,12,933954
217,12,944968
218,12,956030
219,12,966960
220,12,977953
221,12,989033
222,13,253
223,13,11347
224,13,22345
225,13,33204
226,13,44363
227,13,55352
228,13,66246
229,13,77347
230,13,88357
231,13,99358
232,13,110353
233,13,121346
234,13,132342
235,13,143269
236,13,154353
237,13,165343
238,13,176203
239,13,187356
240,13,198267
241,13,209257
242,13,220347
243,13,231383
244,13,242255
245,13,253364
246,13,264351
247,13,275331
248,13,286270
249,13,297351
250,13,308349
251,13,319206
252,13,330353
253,13,341347
254,13,352233
255,13,363423
256,13,374276
257,13,385272
258,13,396205
259,13,407359
260,13,418204
261,13,429206
262,13,440275
263,13,451203
264,13,462272
265,13,473351
266,13,484204
267,13,495358
268,13,506350
269,13,517205
270,13,528244
271,13,539229
272,13,550258
273,13,561349
274,13,572202
275,13,583200
276,13,594199
277,13,605199
278,13,616199
279,13,627206
280,13,638209
281,13,648417
282,13,658698
283,13,669697
284,13,680691
285,13,691695
286,13,702707
287,13,713846
288,13,724981
289,13,735984
290,13,746911
291,13,758005
292,13,768848
293,13,779891
294,13,790997
295,13,801917
296,13,812997
297,13,823903
298,13,834846
299,13,845992
300,13,856874
